transaction_id,customer_id,merchant_id,merchant_category,payment_method,location_type,hour,day_of_week,amount,failed_attempts_24h,txn_count_1h,txn_count_24h,account_age_days,previous_chargebacks,device_changed,ip_location_mismatch,is_fraud
TXN0000037,12734,779,grocery,debit_card,same_city,1,2,271.76,0,2,7,309,0,0,0,0
TXN0000038,10562,862,fashion,credit_card,same_state,20,5,57.55,0,1,2,131,0,0,0,0
TXN0000039,11899,709,travel,upi,same_city,17,5,50.0,0,0,3,1806,0,0,0,0
TXN0000040,11267,755,travel,debit_card,same_city,0,6,1343.28,1,1,7,1847,1,0,0,0
TXN0000041,12879,670,fuel,credit_card,same_state,2,1,141.75,0,1,5,382,0,0,0,0
TXN0000042,11528,572,crypto,upi,same_state,9,5,721.78,0,0,4,1417,0,0,0,0
TXN0000043,10646,646,grocery,wallet,same_city,15,1,57.34,0,0,4,446,0,0,0,0
TXN0000044,12068,839,electronics,credit_card,same_city,14,4,124.85,0,2,5,1507,0,1,0,0
TXN0000045,12888,816,fuel,credit_card,same_city,2,2,158.12,1,1,6,590,0,1,0,0
TXN0000046,12214,605,jewelry,debit_card,same_city,12,3,1284.93,0,1,6,2399,0,0,0,0
TXN0000047,11297,593,fuel,credit_card,same_city,23,0,50.0,0,1,5,776,0,0,0,0
TXN0000048,12435,562,gaming,upi,same_city,6,6,50.0,0,2,4,1942,0,0,0,0
TXN0000049,10600,653,fashion,net_banking,same_state,10,1,56.92,0,0,9,1120,0,1,0,0
TXN0000050,12363,754,jewelry,debit_card,different_state,2,5,531.72,0,1,6,705,0,0,1,0
TXN0000051,12061,850,fashion,debit_card,same_city,2,3,109.9,0,3,10,1381,0,0,0,0
TXN0000052,10241,534,travel,upi,same_city,22,4,247.04,0,1,7,2470,0,1,0,0
TXN0000053,12041,822,crypto,credit_card,same_city,14,6,453.8,0,1,4,194,0,0,0,0
TXN0000054,12824,811,travel,debit_card,same_city,1,2,174.79,0,0,6,2361,0,0,0,0
TXN0000055,12612,795,jewelry,credit_card,same_state,6,2,302.09,0,0,7,2017,0,0,0,0
TXN0000056,12945,752,grocery,wallet,different_state,1,4,56.3,1,2,4,779,0,0,0,0
TXN0000057,11363,656,travel,upi,different_state,17,4,341.17,0,1,3,313,0,0,1,0
TXN0000058,12139,633,crypto,credit_card,same_state,2,0,1571.74,0,1,6,1661,0,0,0,0
TXN0000059,11390,628,jewelry,upi,same_city,22,3,71.48,0,2,9,277,0,0,1,0
TXN0000060,11478,779,crypto,debit_card,same_city,22,1,174.27,0,1,5,742,0,0,0,0
TXN0000061,12556,857,fashion,upi,same_state,17,4,410.93,1,1,4,1373,0,0,0,0
TXN0000062,10775,870,restaurant,upi,same_city,17,6,133.47,0,1,5,306,0,0,1,0
TXN0000063,10034,751,grocery,upi,same_city,18,6,83.94,0,1,4,1203,0,0,0,0
TXN0000064,12253,634,grocery,upi,same_city,7,2,189.24,0,2,7,123,0,0,0,0
TXN0000065,11955,830,grocery,credit_card,same_state,17,4,50.0,0,5,5,174,0,0,0,0
TXN0000066,11585,510,restaurant,debit_card,same_city,11,4,1548.02,0,4,7,1424,0,1,0,0
TXN0000067,11021,791,fuel,credit_card,different_state,11,5,106.27,1,0,7,1389,0,0,0,0
TXN0000068,12613,647,gaming,debit_card,same_city,3,2,53.93,0,0,6,692,0,0,1,0
TXN0000069,11129,818,grocery,debit_card,same_city,21,2,219.74,0,3,5,303,0,0,1,0
TXN0000070,11500,579,fuel,upi,same_city,10,2,310.35,0,2,6,1369,0,0,0,0
TXN0000071,10702,690,fashion,debit_card,same_city,12,4,50.0,0,0,4,2131,0,0,0,0
TXN0000072,12449,843,travel,wallet,same_city,14,1,102.16,0,1,9,359,0,0,0,0
TXN0000073,12777,529,grocery,credit_card,international,20,5,50.0,1,0,2,2193,0,0,0,0
TXN0000074,11579,858,electronics,net_banking,same_city,9,5,794.45,3,0,6,2203,0,0,1,0
TXN0000075,10161,867,grocery,debit_card,same_city,2,2,158.24,0,1,7,1680,0,0,0,0
TXN0000076,10201,728,travel,upi,same_city,9,0,364.53,0,3,9,1148,0,0,0,0
TXN0000077,11981,583,grocery,net_banking,same_city,18,5,292.81,0,0,3,333,0,0,0,0
TXN0000078,10995,649,fashion,upi,same_state,7,6,295.15,0,2,6,1759,1,0,1,0
TXN0000079,12317,860,grocery,debit_card,same_city,3,0,50.0,0,1,5,1560,0,1,0,0
TXN0000080,10815,688,travel,upi,same_city,14,1,1664.16,0,0,1,86,0,0,0,0
TXN0000081,10455,520,grocery,wallet,same_state,18,6,318.79,0,1,6,2081,0,0,0,1
TXN0000082,11275,536,electronics,upi,same_city,3,1,173.59,0,2,8,105,0,1,0,0
TXN0000083,11016,745,fuel,wallet,same_city,18,5,50.0,0,2,5,2024,0,0,0,0
TXN0000084,12343,782,gaming,credit_card,same_state,4,4,614.28,1,0,3,773,0,0,0,0
TXN0000085,12767,601,fashion,credit_card,same_city,8,5,50.0,0,2,4,1907,0,0,0,1
TXN0000086,10337,793,restaurant,debit_card,same_city,11,0,438.13,0,0,6,2257,0,0,0,0
TXN0000087,10878,731,restaurant,upi,different_state,22,1,86.23,0,1,9,1914,0,0,0,0
TXN0000088,11076,815,gaming,debit_card,same_state,17,5,50.0,2,0,3,106,0,0,0,0
TXN0000089,10791,825,gaming,debit_card,same_city,5,3,481.84,1,0,4,446,0,0,0,0
TXN0000090,12264,787,fashion,debit_card,same_city,5,0,74.34,0,2,6,418,0,0,0,0
TXN0000091,10763,835,fashion,credit_card,same_city,18,4,50.0,0,2,5,1809,0,0,0,0
TXN0000092,12235,744,fashion,wallet,same_city,4,6,238.88,0,0,3,1916,0,0,0,1
TXN0000093,10379,886,fuel,debit_card,same_city,4,5,127.29,1,0,8,1667,0,1,0,0
TXN0000094,10492,676,fuel,net_banking,same_city,21,1,50.0,1,0,3,1862,0,0,0,0
TXN0000095,11180,712,travel,debit_card,different_state,4,6,2679.03,0,0,1,2254,0,0,0,0
TXN0000096,12062,857,gaming,debit_card,same_city,16,4,490.45,1,1,7,1030,0,0,0,0
TXN0000097,10064,601,electronics,credit_card,same_city,19,3,977.21,0,1,9,2363,0,0,0,0
TXN0000098,12568,785,grocery,credit_card,same_city,13,2,116.11,0,3,7,1057,0,0,1,0
TXN0000099,11367,521,electronics,wallet,same_city,15,3,135.37,1,2,6,20,0,0,0,0
TXN0000100,11152,518,restaurant,upi,same_city,21,0,58.07,0,1,3,2430,0,0,0,0
TXN0000101,12027,786,grocery,upi,different_state,12,2,81.25,0,1,5,1395,0,0,0,0
TXN0000102,12695,775,fashion,debit_card,same_city,8,0,306.83,0,1,7,401,0,0,0,0
TXN0000103,11495,646,restaurant,wallet,same_city,13,1,52.2,0,0,4,1164,0,0,0,0
TXN0000104,11162,885,electronics,credit_card,same_city,12,1,138.45,0,2,6,1582,0,0,0,0
TXN0000105,11522,539,restaurant,credit_card,same_city,14,4,93.59,0,3,12,611,0,0,0,0
TXN0000106,12640,666,jewelry,net_banking,same_city,0,0,794.23,1,1,8,835,1,0,0,0
TXN0000107,10391,590,fuel,upi,same_city,15,6,50.0,1,1,11,461,0,0,1,0
TXN0000108,11698,571,grocery,credit_card,same_city,22,2,82.72,0,0,3,1920,0,0,0,0
TXN0000109,10418,864,grocery,debit_card,same_city,17,5,390.85,1,0,5,2036,0,0,1,0
TXN0000110,12336,782,electronics,debit_card,same_state,17,2,361.44,1,1,6,1998,0,0,0,0
TXN0000111,10378,834,restaurant,credit_card,same_city,10,2,142.68,0,0,12,2080,0,0,1,0
TXN0000112,11796,639,fuel,net_banking,same_city,3,6,78.5,0,0,5,583,0,0,1,0
TXN0000113,12278,738,restaurant,credit_card,international,13,1,297.72,1,0,5,558,0,0,0,0
TXN0000114,12088,577,grocery,upi,different_state,11,3,151.47,1,0,3,1965,0,0,0,0
TXN0000115,12182,698,restaurant,net_banking,same_state,6,6,223.56,0,0,4,1413,0,1,0,0
TXN0000116,10200,516,fuel,wallet,same_city,6,1,157.33,0,1,4,2133,0,0,0,0
TXN0000117,11863,717,fashion,net_banking,same_city,14,6,343.09,0,0,6,1556,0,0,0,0
TXN0000118,10779,728,grocery,credit_card,different_state,18,5,74.54,0,1,5,1398,0,0,0,0
TXN0000119,12977,839,fuel,debit_card,different_state,8,2,109.97,2,0,4,894,0,0,0,0
TXN0000120,10502,637,grocery,debit_card,same_city,19,4,209.83,0,1,4,2366,0,0,0,0
TXN0000121,12454,646,grocery,upi,same_city,15,2,151.74,0,1,7,632,0,0,0,0
TXN0000122,11751,709,grocery,wallet,same_city,11,2,50.0,0,0,5,128,0,0,0,0
TXN0000123,10804,657,fashion,upi,same_city,21,3,163.0,0,0,5,2191,0,0,0,0
TXN0000124,12146,652,electronics,credit_card,same_city,3,4,187.39,0,1,5,2138,0,0,0,0
TXN0000125,12731,843,gaming,upi,same_city,2,6,707.89,0,3,9,454,0,0,0,0
TXN0000126,11895,829,fashion,upi,same_city,16,4,198.97,0,1,7,602,0,0,0,0
TXN0000127,12773,882,crypto,upi,same_city,17,3,1087.66,0,1,2,54,0,0,0,0
TXN0000128,11570,857,jewelry,upi,different_state,15,0,517.58,1,2,8,787,0,0,1,0
TXN0000129,10960,851,crypto,credit_card,same_state,2,3,552.21,1,1,8,1574,0,0,0,0
TXN0000130,12660,662,electronics,credit_card,same_city,11,2,314.49,0,0,6,85,0,0,0,0
TXN0000131,11485,806,fuel,upi,same_city,23,1,149.77,0,1,2,591,0,1,0,1
TXN0000132,12690,600,travel,net_banking,same_city,10,2,239.64,0,4,8,815,0,0,0,0
TXN0000133,11028,826,travel,debit_card,same_state,22,4,569.77,0,1,7,1828,0,0,0,0
TXN0000134,10502,826,fuel,debit_card,same_city,23,3,78.63,0,2,6,1995,0,0,0,0
TXN0000135,12814,654,travel,upi,same_city,0,4,1052.11,1,0,7,866,1,0,0,0
TXN0000136,10397,509,grocery,debit_card,same_city,3,4,50.0,0,1,6,2143,0,0,0,0
TXN0000137,10870,852,fuel,credit_card,same_city,13,2,67.88,1,1,4,306,0,0,0,0
TXN0000138,12842,682,gaming,credit_card,same_city,5,4,347.42,1,1,2,1240,0,0,1,0
TXN0000139,10392,633,grocery,credit_card,different_state,8,0,564.27,0,2,2,2381,0,0,0,0
TXN0000140,10206,505,grocery,debit_card,same_city,1,2,183.5,0,3,10,1149,0,0,0,0
TXN0000141,11038,832,fuel,credit_card,international,13,5,83.26,0,1,3,2427,0,0,0,0
TXN0000142,11881,832,electronics,upi,same_city,7,6,134.46,0,0,5,1575,0,0,0,0
TXN0000143,12939,757,fuel,net_banking,same_city,20,6,136.85,0,1,5,1031,0,0,0,0
TXN0000144,11484,710,electronics,debit_card,same_state,0,1,85.73,0,0,6,1183,0,0,0,0
TXN0000145,10863,550,grocery,credit_card,same_state,18,2,65.28,1,1,3,2231,0,0,0,0
TXN0000146,12790,646,grocery,debit_card,same_city,4,4,115.25,0,2,5,605,0,0,0,0
TXN0000147,10563,876,fuel,debit_card,same_city,2,1,234.58,0,0,5,766,0,1,1,0
TXN0000148,11020,627,electronics,credit_card,same_state,23,2,176.39,0,1,11,2080,0,1,0,0
TXN0000149,10095,757,fuel,wallet,same_city,4,4,141.59,1,2,5,1968,0,0,0,0
TXN0000150,11923,550,crypto,credit_card,same_city,5,0,487.99,0,0,5,672,0,0,0,0
TXN0000151,11757,653,travel,upi,same_city,16,4,300.56,0,0,6,1756,0,0,0,0
TXN0000152,12532,569,travel,debit_card,same_city,7,0,1734.11,0,1,5,1545,0,1,0,0
TXN0000153,12278,775,travel,debit_card,same_state,5,5,410.11,1,2,11,1506,1,0,0,0
TXN0000154,12796,778,electronics,net_banking,same_city,21,3,214.97,2,1,7,948,0,0,0,0
TXN0000155,11678,809,restaurant,debit_card,same_city,15,4,50.0,1,0,7,1311,0,0,0,0
TXN0000156,10540,898,grocery,upi,same_city,17,4,403.01,0,1,3,1577,1,0,0,1
TXN0000157,11059,633,grocery,credit_card,same_city,19,5,199.98,1,0,5,9,0,0,0,0
TXN0000158,12572,719,fuel,debit_card,international,3,0,112.17,0,1,8,1085,0,0,0,0
TXN0000159,11183,662,restaurant,credit_card,international,14,0,206.79,0,0,1,2473,0,0,1,0
TXN0000160,11722,635,restaurant,debit_card,same_city,22,2,51.2,1,2,4,1430,0,0,0,0
TXN0000161,11819,556,jewelry,upi,same_city,18,0,2586.52,0,1,12,471,0,1,0,0
TXN0000162,12625,676,electronics,upi,same_city,13,1,431.2,0,2,6,720,0,0,0,0
TXN0000163,12729,614,restaurant,net_banking,different_state,20,6,50.0,0,4,8,1607,0,0,0,0
TXN0000164,12604,648,grocery,upi,same_city,13,6,146.02,0,0,4,883,0,0,0,0
TXN0000165,11597,740,fashion,credit_card,same_city,2,4,131.84,0,0,6,913,0,0,0,0
TXN0000166,12693,622,restaurant,credit_card,different_state,6,6,134.31,0,1,6,1171,0,0,0,0
TXN0000167,10795,791,gaming,credit_card,same_state,16,1,510.43,1,1,9,243,0,0,0,0
TXN0000168,11051,826,fuel,wallet,same_city,3,3,245.5,0,1,10,814,0,0,0,0
TXN0000169,11643,568,gaming,debit_card,same_city,12,3,57.72,0,0,7,11,0,0,0,0
TXN0000170,11363,813,fuel,debit_card,same_state,17,1,87.84,0,0,4,1859,0,0,0,0
TXN0000171,11981,562,grocery,upi,same_city,2,3,50.0,2,0,5,1997,0,0,0,0
TXN0000172,11354,720,gaming,wallet,same_city,5,5,190.18,0,2,7,2140,1,0,0,0
TXN0000173,11663,515,grocery,credit_card,same_city,2,6,142.26,0,0,3,1980,0,0,0,0
TXN0000174,11529,889,grocery,credit_card,international,13,4,169.31,0,0,5,1956,0,0,1,0
TXN0000175,12038,577,travel,upi,same_city,21,4,302.4,1,1,5,818,0,0,0,0
TXN0000176,11496,621,fashion,net_banking,same_city,7,5,373.06,0,2,8,1951,0,0,0,0
TXN0000177,12237,757,grocery,credit_card,same_state,1,2,54.1,0,2,10,1221,0,0,0,0
TXN0000178,11408,716,grocery,net_banking,same_city,21,2,50.0,0,2,4,468,0,0,0,0
TXN0000179,11400,613,restaurant,debit_card,same_city,1,0,291.97,0,0,4,1724,1,0,0,0
TXN0000180,11306,869,grocery,upi,international,13,0,50.0,1,0,4,2346,0,0,0,0
TXN0000181,12680,879,fashion,upi,same_city,6,3,155.4,0,2,7,121,0,0,0,0
TXN0000182,12675,645,restaurant,upi,different_state,11,2,50.0,0,0,7,301,0,0,1,0
TXN0000183,10972,736,travel,wallet,different_state,7,0,78.12,2,4,6,798,0,0,0,0
TXN0000184,11768,585,grocery,credit_card,same_state,8,2,207.84,1,0,6,185,0,0,1,0
TXN0000185,11282,666,electronics,credit_card,different_state,21,3,218.31,1,1,7,2136,0,0,0,0
TXN0000186,10709,628,fashion,wallet,same_city,17,3,103.82,0,0,3,801,0,0,0,0
TXN0000187,11479,664,gaming,credit_card,same_city,6,5,66.8,0,1,3,1738,0,0,0,0
TXN0000188,11434,776,fashion,credit_card,same_city,5,3,149.4,0,0,3,85,0,0,1,0
TXN0000189,10648,756,grocery,credit_card,international,1,5,289.52,0,1,6,329,0,0,0,0
TXN0000190,10317,631,grocery,debit_card,same_city,5,2,136.8,0,1,7,1545,0,0,0,0
TXN0000191,11257,557,electronics,wallet,same_city,14,6,388.39,1,2,7,1245,0,0,0,0
TXN0000192,10683,756,fashion,upi,same_state,20,0,50.0,0,0,5,1215,0,0,0,0
TXN0000193,10663,640,fashion,net_banking,same_city,16,3,672.22,0,0,4,216,0,1,0,0
TXN0000194,11998,673,grocery,net_banking,same_city,3,0,102.49,0,3,6,1552,0,0,0,0
TXN0000195,11631,674,crypto,upi,same_state,4,6,672.73,0,5,7,2391,0,0,0,0
TXN0000196,11495,708,fashion,upi,different_state,22,6,113.16,0,3,7,1299,1,0,0,0
TXN0000197,11136,703,restaurant,upi,same_city,12,5,158.45,0,2,5,75,0,1,0,0
TXN0000198,11853,506,electronics,upi,same_city,12,5,573.69,0,3,4,2232,0,0,0,0
TXN0000199,11520,550,travel,credit_card,same_state,12,5,263.8,0,1,2,2118,0,0,0,0
TXN0000200,12489,758,electronics,net_banking,same_city,23,2,858.43,0,0,6,1829,0,1,0,0
TXN0000201,10563,677,gaming,credit_card,same_state,18,1,344.34,0,3,6,1011,2,0,0,0
TXN0000202,11291,530,gaming,debit_card,same_city,6,0,50.0,0,2,5,2032,0,0,0,0
TXN0000203,11636,855,gaming,debit_card,same_city,22,1,81.11,0,1,5,1235,0,0,0,0
TXN0000204,12999,817,fuel,debit_card,different_state,4,1,63.94,0,1,6,1784,0,1,0,0
TXN0000205,10698,653,fashion,wallet,same_city,19,3,62.01,0,1,10,826,0,0,0,0
TXN0000206,12160,863,fuel,debit_card,same_city,10,0,196.65,0,0,6,2194,0,0,0,0
TXN0000207,10001,554,crypto,wallet,same_state,9,0,2081.0,0,2,8,532,0,0,0,0
TXN0000208,10641,655,grocery,debit_card,same_state,8,3,154.51,0,0,5,1551,0,0,0,0
TXN0000209,12267,543,grocery,credit_card,different_state,21,6,50.0,2,1,7,296,1,0,0,0
TXN0000210,11589,580,grocery,wallet,same_state,0,2,69.31,1,1,8,2114,0,0,0,0
TXN0000211,10854,665,grocery,debit_card,different_state,20,5,50.0,0,2,2,2176,0,0,0,0
TXN0000212,11759,529,grocery,debit_card,different_state,14,0,60.71,0,1,8,12,0,0,0,0
TXN0000213,12432,821,grocery,credit_card,same_city,20,1,109.94,0,2,6,1684,0,0,1,0
TXN0000214,11661,635,fuel,debit_card,same_city,21,6,50.0,0,0,3,859,0,0,0,0
TXN0000215,11153,513,grocery,upi,same_city,12,4,50.0,0,1,2,1339,0,0,0,0
TXN0000216,11076,856,crypto,credit_card,same_city,4,4,126.72,0,0,4,2330,0,0,0,0
TXN0000217,11707,605,grocery,debit_card,different_state,13,1,66.45,0,2,5,1784,1,0,0,0
TXN0000218,12777,858,restaurant,credit_card,same_city,21,1,245.95,0,0,5,1423,0,0,0,0
TXN0000219,11695,817,jewelry,debit_card,same_city,22,0,151.82,0,0,3,77,0,0,0,0
TXN0000220,11733,574,grocery,debit_card,different_state,3,2,62.42,0,1,6,516,0,0,0,0
TXN0000221,11439,578,grocery,upi,same_city,8,2,50.0,0,0,8,2484,0,1,0,0
TXN0000222,12294,693,grocery,credit_card,same_city,7,0,142.88,0,0,10,2334,0,0,1,0
TXN0000223,10835,862,travel,net_banking,same_state,7,3,392.38,0,0,5,533,0,0,0,0
TXN0000224,10202,595,fashion,debit_card,same_city,8,5,195.23,0,1,7,979,0,0,0,0
TXN0000225,10122,539,fuel,debit_card,same_city,2,4,157.47,0,1,2,1133,0,0,0,0
TXN0000226,10400,755,fuel,upi,same_state,8,1,175.92,3,2,7,876,0,0,0,0
TXN0000227,10766,896,travel,credit_card,same_city,1,2,308.14,0,1,6,2181,0,0,0,0
TXN0000228,10293,606,fuel,credit_card,same_city,14,3,96.14,0,1,7,1077,0,0,0,0
TXN0000229,12327,516,restaurant,upi,same_city,9,4,261.28,0,1,6,862,0,0,1,0
TXN0000230,12931,514,electronics,upi,different_state,12,1,182.72,0,0,1,1335,0,1,0,0
TXN0000231,10197,771,grocery,upi,international,0,0,171.72,0,3,12,2292,0,0,0,0
TXN0000232,11930,512,grocery,credit_card,same_state,7,3,240.07,0,0,3,1384,0,0,0,0
TXN0000233,12799,746,fashion,wallet,international,13,1,454.65,0,2,7,375,0,0,0,0
TXN0000234,12191,713,fuel,debit_card,same_city,15,6,50.0,0,1,5,1348,0,0,0,0
TXN0000235,10608,650,grocery,upi,same_state,23,6,103.46,0,0,4,2291,0,0,0,0
TXN0000236,11147,791,fuel,credit_card,different_state,22,0,50.0,0,1,7,657,0,0,0,0
TXN0000237,10186,542,fuel,upi,same_city,0,1,50.0,0,0,3,1639,0,0,0,0
TXN0000238,12511,613,fashion,credit_card,same_city,7,0,74.56,0,0,2,459,0,1,0,0
TXN0000239,11794,829,grocery,credit_card,same_state,0,6,101.13,0,1,2,2434,0,0,0,0
TXN0000240,10659,580,gaming,credit_card,same_city,0,5,222.53,0,0,3,732,0,0,1,0
TXN0000241,12811,849,fuel,credit_card,same_city,0,0,257.33,0,1,7,2202,2,0,1,0
TXN0000242,11955,640,travel,credit_card,different_state,3,6,974.75,0,2,7,780,1,1,0,0
TXN0000243,12450,529,fashion,credit_card,same_city,4,4,289.6,0,1,6,669,0,0,1,0
TXN0000244,11369,529,travel,upi,different_state,23,5,843.52,0,0,7,748,0,0,0,0
TXN0000245,11986,765,fashion,upi,different_state,11,3,50.0,1,0,6,856,0,0,0,0
TXN0000246,11534,598,fuel,upi,international,23,6,81.2,1,0,6,2395,0,0,0,0
TXN0000247,10146,593,restaurant,credit_card,same_city,5,2,50.0,0,0,2,2136,0,0,0,0
TXN0000248,12911,710,electronics,debit_card,same_city,6,4,111.6,0,1,7,1500,0,0,0,0
TXN0000249,11734,794,fuel,credit_card,same_state,0,2,50.0,0,2,7,820,0,0,0,0
TXN0000250,11843,536,fuel,debit_card,same_state,23,4,162.9,0,0,3,1555,0,0,0,0
TXN0000251,10488,886,grocery,upi,same_state,12,0,173.38,0,1,6,1174,0,0,0,0
TXN0000252,12976,588,fashion,debit_card,different_state,14,4,50.0,0,0,4,1220,0,0,0,0
TXN0000253,11959,754,fuel,upi,same_city,21,6,105.88,1,2,3,485,1,0,0,0
TXN0000254,11663,713,restaurant,net_banking,international,11,0,64.47,0,0,3,312,0,0,0,0
TXN0000255,12598,513,grocery,credit_card,same_state,16,3,50.0,0,2,7,1893,0,0,0,0
TXN0000256,12385,691,travel,credit_card,different_state,12,1,1452.42,0,3,5,2276,0,0,0,0
TXN0000257,12919,794,gaming,upi,same_city,20,0,50.0,0,2,5,1829,0,0,0,0
TXN0000258,10640,681,jewelry,debit_card,same_city,8,2,137.83,0,3,5,1371,0,0,0,0
TXN0000259,11802,629,grocery,debit_card,different_state,12,6,91.88,1,1,7,556,0,0,0,0
TXN0000260,12520,723,restaurant,debit_card,same_city,16,0,322.51,0,2,8,2201,0,0,1,0
TXN0000261,11969,542,restaurant,credit_card,same_city,18,0,319.2,0,2,8,2363,0,0,0,0
TXN0000262,12198,680,restaurant,upi,same_state,5,6,50.0,0,1,6,612,0,0,0,0
TXN0000263,11438,886,jewelry,credit_card,same_city,17,2,138.59,1,1,8,555,0,0,0,1
TXN0000264,11634,668,jewelry,credit_card,same_state,9,0,532.66,1,0,1,858,0,0,0,0
TXN0000265,10262,763,fashion,upi,international,9,0,456.06,0,0,2,2246,0,0,0,0
TXN0000266,11787,595,jewelry,debit_card,same_city,20,2,455.9,0,1,7,2274,0,0,0,0
TXN0000267,12191,702,travel,upi,different_state,14,1,485.44,0,4,8,664,0,0,0,0
TXN0000268,12393,820,travel,upi,same_city,8,3,101.5,0,3,8,2190,0,0,0,0
TXN0000269,10623,834,travel,debit_card,same_city,4,0,346.07,0,0,8,1762,0,0,0,0
TXN0000270,11016,887,restaurant,credit_card,same_city,15,0,199.61,0,0,5,1746,0,0,0,0
TXN0000271,10880,567,grocery,credit_card,same_city,18,6,65.57,0,0,1,2415,0,0,0,0
TXN0000272,12049,591,crypto,credit_card,same_city,4,1,436.54,0,1,5,1216,0,1,0,0
TXN0000273,12944,765,fuel,credit_card,different_state,5,1,385.7,0,0,8,1626,0,0,1,0
TXN0000274,11327,830,electronics,upi,same_city,8,3,50.0,0,0,4,1868,0,0,0,0
TXN0000275,12301,677,grocery,net_banking,same_city,5,6,89.56,1,1,5,1701,0,0,0,0
TXN0000276,10452,650,fuel,wallet,same_city,14,6,50.0,0,2,9,1975,0,0,0,0
TXN0000277,11183,816,restaurant,upi,international,17,0,1375.13,1,1,2,2168,0,0,1,1
TXN0000278,12056,546,electronics,upi,same_state,4,3,175.29,0,1,6,1005,0,1,0,0
TXN0000279,11682,502,fashion,credit_card,same_city,8,1,72.23,0,1,6,2490,0,0,0,0
TXN0000280,12863,602,grocery,credit_card,different_state,9,1,158.6,2,2,6,2155,0,0,0,0
TXN0000281,12255,772,restaurant,wallet,same_state,10,0,50.0,0,2,8,1384,0,0,0,0
